date,open,high,low,close,volume,per,pbr,roe,open_lastclose_ratio,high_close_ratio,low_close_ratio,diffratio,volume_lastvolume_ratio,close_ma5_ratio,volume_ma5_ratio,close_ma10_ratio,volume_ma10_ratio,close_ma20_ratio,volume_ma20_ratio,close_ma60_ratio,volume_ma60_ratio,close_ma120_ratio,volume_ma120_ratio,ind,ind_diff,ind_ma5,ind_ma10,ind_ma20,ind_ma60,ind_ma120,inst,inst_diff,inst_ma5,inst_ma10,inst_ma20,inst_ma60,inst_ma120,foreign,foreign_diff,foreign_ma5,foreign_ma10,foreign_ma20,foreign_ma60,foreign_ma120
20210330,98351,99756,98251,99054,1549810,50.89,6.83,14.81,0.0051303539126612,0.0070870434308558,-0.0081066892805944,0.0123148933560894,-0.1089614966682572,0.0059123525720052,-0.0966773936262601,0.0044791572653715,-0.2430312607316526,0.0246580387150965,-0.4172016753106254,0.0599635492845311,-0.6148954678908496,0.1884679471060135,-0.5590363602022024,-0.1935494240901653,-0.5026986107431974,0.0118597419765281,-0.0160051360065522,0.0665004067672976,0.029445326424148,0.0165057654148439,0.0718963072976439,0.2258894270038708,-0.0223510601348554,-0.0126269783227695,-0.0313267579939835,-0.0241553960703147,-0.0214497079142445,0.1180398170204421,0.2849513900641272,0.0083001419835896,0.0249415552885661,-0.0368192530545419,-0.0061252583690728,0.0043593793403837
20210331,99154,101362,98552,99957,2506197,50.89,6.83,14.81,0.0010095503462757,0.0140560440989625,-0.0140560440989625,0.0091162396268701,0.6170995154244714,0.0126062934215085,0.2989621248064538,0.0109615143436239,0.1952745250123011,0.0335163616567983,-0.0553195642093694,0.0654880142325158,-0.3732373347009545,0.1962414678771722,-0.2867562094663372,-0.1092546060321726,0.0842948180579926,-0.0028156231121781,-0.0180402058959983,0.0563011621117261,0.0291423963730169,0.0180202888541755,-0.0446886505140785,-0.1165849578117224,-0.026993021202833,-0.0183977275042618,-0.0372512766604996,-0.0247090963804762,-0.0224426277465251,0.1536331395764915,0.0355933225560494,0.0270037454640158,0.0319677607212136,-0.0224658945912032,-0.005145590234407,0.0038447498301371
20210401,100358,101161,98753,100158,2054750,50.89,6.83,14.81,0.0040117250417679,0.0100141775993929,-0.0140278360190898,0.0020108646718088,-0.1801322880842966,0.0088985500822968,0.05199645093593,0.0127885306689128,0.0714329105707709,0.033771115655969,-0.2043848645289778,0.0637236203364028,-0.4813847366166627,0.1958341968726329,-0.4127858014812339,-0.090892118043853,0.0183624879883196,-0.090156095566472,0.0065076185975415,0.0273329783770707,0.0285757086839711,0.0206585502136127,0.1712004422643742,0.2158890927784527,0.0162100586200998,-0.0151197741502782,-0.0203159721284808,-0.0206418419943089,-0.0220626939820737,-0.0879946074782444,-0.2416277470547359,0.0695137985418244,0.0038376559511887,-0.010336965752866,-0.0087270185417854,0.0007263636760625
20210402,101964,101964,100158,100559,1487872,50.89,6.83,14.81,0.0180315102138621,0.0139718970952376,-0.0039877087083204,0.0040036741947722,-0.2758866042097578,0.0104868191254821,-0.2033205543095659,0.0150922788220533,-0.1775072212012656,0.0346949337926534,-0.3999220517187873,0.0639002446063869,-0.6208889475119588,0.197739684563891,-0.5742870175375767,-0.0037871558158457,0.0871049622280072,-0.0176668234658008,-0.0119245650998925,0.0085002234940865,0.025574700311655,0.0212614190271065,0.0807022478494245,-0.0904981944149496,0.0250234454382274,0.0061335269953041,-0.0085505132603341,-0.0171746605174555,-0.0223417969948931,-0.0485030521596163,0.039491555318628,-0.0063472552169223,0.0049862172312878,-0.0021235428247714,-0.0086354959457387,0.0006779469617041
20210405,100961,101362,100358,100760,1546457,50.89,6.83,14.81,0.0039976531190644,0.005974593092497,-0.0039896784438269,0.0019988265595322,0.0393750268840329,0.0066175412797109,-0.1544874482317607,0.0154750086924095,-0.144028880543515,0.0316492924816866,-0.3521376981740312,0.0620237616749537,-0.5963509880344474,0.1972000774290774,-0.5558665517497452,-0.198083118556701,-0.1942959627408552,-0.1191132845077474,-0.0303022422641791,-0.017261114279142,0.0244795212016107,0.0205072169321016,0.0073228092783505,-0.073379438571074,0.0572866312351429,0.0034677727841864,-0.0052769183267281,-0.016484847809466,-0.0217145971058045,0.1829703608247422,0.2314734129843586,0.063629131556763,0.0260413595559256,0.0200034616674196,-0.0083972953326702,0.0006700346274356
20210406,101563,109391,101362,109190,8593987,50.89,6.83,14.81,0.0079694323144103,0.0018408279146442,-0.0716915468449491,0.083664152441445,4.557210449433771,0.0691820204299054,1.6542242843296815,0.0886525494450054,2.4698436658239142,0.106253080594169,2.369528967053924,0.1451636613563987,1.1979186449609016,0.2929302976291443,1.4318013200790558,-0.4073241203553941,-0.2092410017986931,-0.1618682237607932,-0.0750042408921326,-0.0462814417750106,0.0184823327198383,0.0156616049096272,0.0552083007238437,0.0478854914454931,0.0539490299203829,0.0157989848927636,-0.0002166352302367,-0.0161970482468116,-0.0195124975586267,0.3606644335688173,0.177694072744075,0.1121540548664381,0.0602270984250138,0.0446740924618645,-0.0024030560006293,0.0037582115582367
20210407,109190,109190,105577,108789,4089821,50.89,6.83,14.81,0.0,0.0036860344336284,-0.0295250438923052,-0.0036724974814543,-0.5241066806361239,0.0471435501755683,0.1505786876380861,0.073908781572705,0.4915571254182378,0.0930766486980723,0.6159691768639508,0.1366510018881668,0.0838570622363035,0.2838592367995038,0.1502701784858464,0.1025111585389623,0.5098352788943565,-0.1195150708465662,-0.0611653469793722,-0.0313020376001647,0.0232367045087386,0.0165012551750777,0.0414851576813628,-0.0137231430424809,0.0711837915594711,0.022095385178319,0.0011591435465153,-0.0162598709298132,-0.0185434356022818,-0.1391028827037773,-0.4997673162725946,0.0536068504103843,0.0403052979372,0.0285793647687227,-0.0068286393325009,0.0021437867935483
20210408,108186,112602,107183,109993,4546275,50.89,6.83,14.81,-0.0055428398091719,0.0237196912530797,-0.0255470802687444,0.0110672954067047,0.1116073295139323,0.0390597988630072,0.1217386914557403,0.0724077280668913,0.5138925874598868,0.0975373685365903,0.7990815029597573,0.1454273279905582,0.2674449049225003,0.2934849289615986,0.270054455226308,0.0349846687283701,-0.0675264898105921,-0.0943397134921216,-0.0922479045292968,-0.0199779887631012,0.0244953272584554,0.0162617257584645,0.0002038324891453,-0.0412813251922174,0.0369844696044254,0.0265972641122625,0.001606522903641,-0.0153199832428479,-0.0175422865345531,-0.0203427015914276,0.1187601811123496,0.0671372315877476,0.068325515064786,0.0182993449073788,-0.0087716391195971,0.0013681727349381
20210409,111197,112602,110595,112000,3930108,50.89,6.83,14.81,0.0109461511187074,0.0053749999999999,-0.0125446428571428,0.0182466156937259,-0.1355322764241054,0.0356331787280945,-0.1345908916190534,0.0786769641792568,0.2264491182556864,0.1090124590618448,0.502837014462669,0.162258357926109,0.1160505217927629,0.3120283616797517,0.093276610805453,-0.0335759261395544,-0.0685605948679246,-0.1002974675568633,-0.0589821455113321,-0.0248090871504673,0.0243730896949345,0.0148235471700885,0.0147102260410552,0.0145063935519098,0.0237860652427515,0.0244047553404894,0.0020305850592483,-0.0141856299938322,-0.0161806838228413,0.0274124377724732,0.0477551393639008,0.0823203295741656,0.0379865371786215,0.0231557837926213,-0.009583974572949,0.0014109976857498
20210412,112000,112000,112000,112000,0,50.89,6.83,14.81,0.0,0.0,0.0,0.0,-1.0,0.0145442160109572,-1.0,0.0641734602740247,-1.0,0.1003737340789674,-1.0,0.1580973494563922,-1.0,0.3068940117707976,-1.0,,,,,,,,,,,,,,,,,,,,,
